tile_id,Mg_ha_1_download,Mg_px_1_download,ObjectId,Shape__Area,Shape__Length
00N_000E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_000E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_000E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,1,1245542622548.87,4464169.76558139
00N_010E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_010E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_010E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,2,1245542622548.87,4464169.76558139
00N_020E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_020E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_020E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,3,1245542622548.87,4464169.76558139
00N_030E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_030E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_030E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,4,1245542622548.87,4464169.76558139
00N_040E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_040E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_040E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,5,1245542622548.87,4464169.76558139
00N_040W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_040W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_040W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,6,1245542622548.87,4464169.76558139
00N_050W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_050W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_050W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,7,1245542622548.87,4464169.76558139
00N_060W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_060W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_060W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,8,1245542622548.87,4464169.76558139
00N_070E,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_070E&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_070E&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,9,1245542622548.87,4464169.76558139
00N_070W,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_070W&pixel_meaning=Mg_ha-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/whrc_aboveground_woody_biomass_stock_2000/v1.4/download/geotiff?grid=10/40000&tile_id=00N_070W&pixel_meaning=Mg_px-1&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,10,1245542622548.87,4464169.76558139
